id,ticker_symbol,timestamp,ohlc_1sec_open,ohlc_1sec_high,ohlc_1sec_low,ohlc_1sec_close,ohlc_1sec_volume,ohlc_1sec_tick_count,composite_score,news_score_cached,technical_score_cached,source,created_at
65909,QLD,2025-11-26 14:35:25+00:00,70.4500,70.4500,70.4300,70.4400,437400,186,13.377258257093406,22.221918151202196,-35.288000000000004,eodhd_ws,2025-11-26 14:35:27.081789+00:00
65910,QLD,2025-11-26 14:35:26+00:00,70.4400,70.4400,70.4100,70.4100,559000,244,14.42383505103631,22.20773316011568,-28.268266400454433,eodhd_ws,2025-11-26 14:35:28.006730+00:00
65911,QLD,2025-11-26 14:35:27+00:00,70.4100,70.4200,70.4100,70.4100,579600,258,15.259178552349951,22.193557223781806,-22.656781916028535,eodhd_ws,2025-11-26 14:35:29.003811+00:00
65912,QLD,2025-11-26 14:35:28+00:00,70.4100,70.4200,70.4100,70.4101,570400,224,15.938962225394192,22.179390336420624,-18.082390100316708,eodhd_ws,2025-11-26 14:35:30.004822+00:00
65913,QLD,2025-11-26 14:35:29+00:00,70.4100,70.4250,70.4100,70.4100,627650,275,16.48151728751407,22.16523249225588,-14.422882820356616,eodhd_ws,2025-11-26 14:35:31.003151+00:00
65914,QLD,2025-11-26 14:35:30+00:00,70.4100,70.4200,70.4100,70.4100,593350,221,16.908159484573055,22.15108368551499,-11.536155086407398,eodhd_ws,2025-11-26 14:35:32.006188+00:00
65915,QLD,2025-11-26 14:35:31+00:00,70.4100,70.4200,70.4000,70.4200,308500,142,17.24749403057509,22.13694391042907,-9.23150545446941,eodhd_ws,2025-11-26 14:35:33.004019+00:00
65916,QLD,2025-11-26 14:35:32+00:00,70.4200,70.4200,70.4100,70.4199,292450,132,17.524534746055412,22.122813161232916,-7.342175103678777,eodhd_ws,2025-11-26 14:35:34.004117+00:00
65917,QLD,2025-11-26 14:35:33+00:00,70.4200,70.4396,70.4100,70.4125,1006750,367,17.744899610069723,22.108691432164996,-5.83071082304627,eodhd_ws,2025-11-26 14:35:35.008862+00:00
65918,QLD,2025-11-26 14:35:34+00:00,70.4113,70.4200,70.4006,70.4200,727250,271,17.919924602131736,22.094578717467463,-4.621539398540264,eodhd_ws,2025-11-26 14:35:36.004506+00:00
65919,QLD,2025-11-26 14:35:35+00:00,70.4200,70.4300,70.4100,70.4227,983850,409,18.05867943122727,22.08047501138615,-3.6541960863260927,eodhd_ws,2025-11-26 14:35:37.003591+00:00
65920,QLD,2025-11-26 14:35:36+00:00,70.4213,70.4300,70.4150,70.4300,909850,286,18.18133142046903,22.066380308170547,-2.7942320484008984,eodhd_ws,2025-11-26 14:35:38.003849+00:00
65921,QLD,2025-11-26 14:35:37+00:00,70.4300,70.4499,70.4300,70.4400,900050,358,18.27173044392937,22.052294602073832,-2.1493147737084817,eodhd_ws,2025-11-26 14:35:39.003741+00:00
65922,QLD,2025-11-26 14:35:38+00:00,70.4500,70.4700,70.4400,70.4600,901350,339,18.349435053766165,22.038217887352843,-1.5890538973002302,eodhd_ws,2025-11-26 14:35:40.003770+00:00
65923,QLD,2025-11-26 14:35:39+00:00,70.4600,70.4700,70.4500,70.4500,1060900,406,18.410144915696023,22.024150158268085,-1.142118297180208,eodhd_ws,2025-11-26 14:35:41.004597+00:00
65924,QLD,2025-11-26 14:35:40+00:00,70.4500,70.4600,70.4500,70.4500,982350,329,18.463910697301976,22.010091409083724,-0.7415035055874455,eodhd_ws,2025-11-26 14:35:42.003904+00:00
65925,QLD,2025-11-26 14:35:41+00:00,70.4500,70.4600,70.4500,70.4551,776400,276,18.492747738624093,21.996041634067595,-0.5071072383916266,eodhd_ws,2025-11-26 14:35:43.003360+00:00
65926,QLD,2025-11-26 14:35:42+00:00,70.4588,70.4588,70.4400,70.4400,326100,149,18.514555074882452,21.982000827491184,-0.31960257694000427,eodhd_ws,2025-11-26 14:35:44.003880+00:00
65927,QLD,2025-11-26 14:35:43+00:00,70.4400,70.4500,70.4400,70.4403,298450,137,18.52447782538942,21.967968983629635,-0.2113553753089087,eodhd_ws,2025-11-26 14:35:45.005743+00:00
65928,QLD,2025-11-26 14:35:44+00:00,70.4401,70.4550,70.4400,70.4500,309050,134,18.537420669624133,21.953946096761754,-0.08300108647382987,eodhd_ws,2025-11-26 14:35:46.006953+00:00
65929,QLD,2025-11-26 14:35:45+00:00,70.4500,70.4600,70.4500,70.4600,448050,170,18.54651691326805,21.93993216116999,0.019682344594233195,eodhd_ws,2025-11-26 14:35:47.006037+00:00
65930,QLD,2025-11-26 14:35:46+00:00,70.4600,70.4698,70.4500,70.4500,497550,215,18.539624197416927,21.925927171140444,0.015745875675386555,eodhd_ws,2025-11-26 14:35:48.004411+00:00
65931,QLD,2025-11-26 14:35:47+00:00,70.4500,70.4694,70.4500,70.4603,416250,161,18.539179788995128,21.911931120962866,0.05477130339612579,eodhd_ws,2025-11-26 14:35:49.003501+00:00
65932,QLD,2025-11-26 14:35:48+00:00,70.4601,70.4700,70.4600,70.4600,340700,160,18.537374952825033,21.89794400493065,0.08470041035880278,eodhd_ws,2025-11-26 14:35:50.004271+00:00
65933,QLD,2025-11-26 14:35:49+00:00,70.4600,70.4600,70.4500,70.4600,477650,200,18.53499907097477,21.883965817340837,0.11079576079316095,eodhd_ws,2025-11-26 14:35:51.003990+00:00
65934,QLD,2025-11-26 14:35:50+00:00,70.4600,70.4700,70.4600,70.4694,397150,177,18.531845270002936,21.8699965524941,0.13167821552114672,eodhd_ws,2025-11-26 14:35:52.003524+00:00
65935,QLD,2025-11-26 14:35:51+00:00,70.4697,70.4800,70.4602,70.4700,488900,204,18.521612767027598,21.85603620469476,0.10534257241691738,eodhd_ws,2025-11-26 14:35:53.003535+00:00
65936,QLD,2025-11-26 14:35:52+00:00,70.4700,70.4900,70.4606,70.4800,304400,139,18.512174343455293,21.842084768250764,0.08427405793353392,eodhd_ws,2025-11-26 14:35:54.005152+00:00
